Time|Exchange|Symbol|Bid_Price|Bid_Size|Offer_Price|Offer_Size|Quote_Condition|Sequence_Number|National_BBO_Ind|FINRA_BBO_Indicator|FINRA_ADF_MPID_Indicator|Quote_Cancel_Correction|Source_Of_Quote|Retail_Interest_Indicator|Short_Sale_Restriction_Indicator|LULD_BBO_Indicator|SIP_Generated_Message_Identifier|National_BBO_LULD_Indicator|Participant_Timestamp|FINRA_ADF_Timestamp|FINRA_ADF_Market_Participant_Quote_Indicator|Security_Status_Indicator
092835996951127|J|YHGJ|.7354|1|.8968|1|R|7055500|0||||N||0||||092835996776000||| 
092835997028476|Q|YHGJ|.7354|1|.8494|9|R|7055501|0||||N||0||||092835997016701||| 
092927187505823|Z|YHGJ|0|0|.8883|1|Y|7118132|0||||N||0||||092927187326000||| 
092927187537618|Z|YHGJ|.7433|1|.8883|1|R|7118133|0||||N||0||||092927187362000||| 
092927195763866|Z|YHGJ|.7433|1|.8883|1|R|7118181|0||||N||0||||092927195582000||| 
093000505608700|P|YHGJ|.7824|5|.8495|6|R|7188976|3||||N||0||||093000505271041||| 
093000559171986|N|YHGJ|.626|1|0|0|R|7191262|0||||N||0||||093000558834483||| 
093000559176953|N|YHGJ|.626|1|1.01|1|R|7191263|0||||N||0||||093000558839177||| 
093000559219926|N|YHGJ|.626|2|1.01|1|R|7191265|0||||N||0||||093000558883288||| 
093000559335147|N|YHGJ|.626|2|1.01|2|R|7191266|0||||N||0||||093000558998734||| 
093000563521854|P|YHGJ|.7824|5|.8495|6|R|7191388|3||||N||0||E|A|200000000000000||| 
093003589844098|Z|YHGJ|.7793|1|.8883|1|R|7293573|0||||N||0|||A|093003589661000||| 
093004589775811|Z|YHGJ|.7793|1|.8526|1|R|7310861|0||||N||0|||A|093004589597000||| 
093009445335999|P|YHGJ|.7824|5|.846|6|R|7400474|4||||N||0|||A|093009444998639||| 
093009445345916|Z|YHGJ|.7793|1|.8883|1|R|7400475|0||||N||0|||A|093009445169000||| 
093009590044679|Z|YHGJ|.7793|1|.8493|1|R|7402747|0||||N||0|||A|093009589862000||| 
093037713261352|Q|YHGJ|.7354|1|.8968|1|R|7644468|0||||N||0|||A|093037713248865||| 
093037713798236|H|YHGJ|.7824|1|.8495|1|R|7644469|0||||N||0|||A|093037713535240||| 
093037745215969|U|YHGJ|.7824|1|.8494|9|R|7644555|0||||N||0|||A|093037745044917||| 
093406550507327|K|YHGJ|.7824|1|.8493|2|R|9490578|0||||N||0|||A|093406550326000||| 
100902724130906|K|YHGJ|.7824|1|.8493|2|R|23121244|0||||N||0|||A|100902723940000||| 
101053851729086|K|YHGJ|.7824|1|.8493|2|R|23747427|0||||N||0|||A|101053851538000||| 
101302541802162|K|YHGJ|.7824|1|.8493|2|R|24434914|0||||N||0|||A|101302541611000||| 
101306306338188|N|YHGJ|.626|2|1.01|2|R|24455281|0||||N||0|||A|101306306000651||| 
101321722325712|N|YHGJ|.626|2|1.01|2|R|24542722|0||||N||0|||A|101321721989124||| 
101520480969840|Y|YHGJ|0|0|.815|5|Y|25225651|3||||N||0|||A|101520480782000||| 
101520481100840|Z|YHGJ|.7793|1|.8883|1|R|25225653|0||||N||0|||A|101520480923000||| 
101520481168500|K|YHGJ|.7824|1|.8352|1|R|25225654|0||||N||0|||A|101520480990000||| 
101520481245597|Y|YHGJ|0|0|.815|3|Y|25225655|3||||N||0|||A|101520481058000||| 
101520481572607|Q|YHGJ|.7354|1|.8639|1|R|25225657|0||||N||0|||A|101520481559786||| 
101520481588757|J|YHGJ|.7354|1|.8639|1|R|25225658|0||||N||0|||A|101520481402000||| 
101520481666953|Z|YHGJ|.7793|1|.8557|1|R|25225659|0||||N||0|||A|101520481485000||| 
101520589984071|Z|YHGJ|.7793|1|.8182|1|R|25226151|0||||N||0|||A|101520589801000||| 
101537725724997|N|YHGJ|.626|2|1.01|2|R|25336543|0||||N||0|||A|101537725385676||| 
101639037865196|N|YHGJ|.626|2|1.01|2|R|25668290|0||||N||0|||A|101639037527631||| 
101731147208693|Z|YHGJ|.7793|1|.8557|1|R|25904195|0||||N||0|||A|101731147030000||| 
101731147240240|Z|YHGJ|.7433|1|.8557|1|R|25904197|0||||N||0|||A|101731147047000||| 
101731363933387|Z|YHGJ|.7793|1|.8557|1|R|25906172|0||||N||0|||A|101731363755000||| 
101731658130090|Z|YHGJ|.7793|1|.8182|1|R|25907524|0||||N||0|||A|101731657945000||| 
101838255651067|N|YHGJ|.626|2|1.01|2|R|26183926|0||||N||0|||A|101838255312940||| 
